"No","Title_E","SubTitle_E","CodeFlag","Value","MeaningParameterDescription_E","Note_E","UnitComments_E","Status"
884,"Code table 4.3 - Type of generating process",,"0",,"Analysis",,,"Operational"
885,"Code table 4.3 - Type of generating process",,"1",,"Initialization",,,"Operational"
886,"Code table 4.3 - Type of generating process",,"2",,"Forecast",,,"Operational"
887,"Code table 4.3 - Type of generating process",,"3",,"Bias corrected forecast",,,"Operational"
888,"Code table 4.3 - Type of generating process",,"4",,"Ensemble forecast",,,"Operational"
889,"Code table 4.3 - Type of generating process",,"5",,"Probability forecast",,,"Operational"
890,"Code table 4.3 - Type of generating process",,"6",,"Forecast error",,,"Operational"
891,"Code table 4.3 - Type of generating process",,"7",,"Analysis error",,,"Operational"
892,"Code table 4.3 - Type of generating process",,"8",,"Observation",,,"Operational"
893,"Code table 4.3 - Type of generating process",,"9",,"Climatological",,,"Operational"
894,"Code table 4.3 - Type of generating process",,"10",,"Probability-weighted forecast",,,"Operational"
895,"Code table 4.3 - Type of generating process",,"11",,"Bias-corrected ensemble forecast",,,"Operational"
896,"Code table 4.3 - Type of generating process",,"12-191",,"Reserved",,,"Operational"
897,"Code table 4.3 - Type of generating process",,"192-254",,"Reserved for local use",,,"Operational"
898,"Code table 4.3 - Type of generating process",,"255",,"Missing",,,"Operational"
899,"Code table 4.4 - Indicator of unit of time range",,"0",,"Minute",,,"Operational"
900,"Code table 4.4 - Indicator of unit of time range",,"1",,"Hour",,,"Operational"
901,"Code table 4.4 - Indicator of unit of time range",,"2",,"Day",,,"Operational"
902,"Code table 4.4 - Indicator of unit of time range",,"3",,"Month",,,"Operational"
903,"Code table 4.4 - Indicator of unit of time range",,"4",,"Year",,,"Operational"
904,"Code table 4.4 - Indicator of unit of time range",,"5",,"Decade (10 years)",,,"Operational"
905,"Code table 4.4 - Indicator of unit of time range",,"6",,"Normal (30 years)",,,"Operational"
906,"Code table 4.4 - Indicator of unit of time range",,"7",,"Century (100 years)",,,"Operational"
907,"Code table 4.4 - Indicator of unit of time range",,"8-9",,"Reserved",,,"Operational"
908,"Code table 4.4 - Indicator of unit of time range",,"10",,"3 hours",,,"Operational"
909,"Code table 4.4 - Indicator of unit of time range",,"11",,"6 hours",,,"Operational"
910,"Code table 4.4 - Indicator of unit of time range",,"12",,"12 hours",,,"Operational"
911,"Code table 4.4 - Indicator of unit of time range",,"13",,"Second",,,"Operational"
912,"Code table 4.4 - Indicator of unit of time range",,"14-191",,"Reserved",,,"Operational"
913,"Code table 4.4 - Indicator of unit of time range",,"192-254",,"Reserved for local use",,,"Operational"
914,"Code table 4.4 - Indicator of unit of time range",,"255",,"Missing",,,"Operational"
915,"Code table 4.5 - Fixed surface types and units",,"0",,"Reserved",,,"Operational"
916,"Code table 4.5 - Fixed surface types and units",,"1",,"Ground or water surface",,"-","Operational"
917,"Code table 4.5 - Fixed surface types and units",,"2",,"Cloud base level",,"-","Operational"
918,"Code table 4.5 - Fixed surface types and units",,"3",,"Level of cloud tops",,"-","Operational"
919,"Code table 4.5 - Fixed surface types and units",,"4",,"Level of 0°C isotherm",,"-","Operational"
920,"Code table 4.5 - Fixed surface types and units",,"5",,"Level of adiabatic condensation lifted from the surface",,"-","Operational"
921,"Code table 4.5 - Fixed surface types and units",,"6",,"Maximum wind level",,"-","Operational"
922,"Code table 4.5 - Fixed surface types and units",,"7",,"Tropopause",,"-","Operational"
923,"Code table 4.5 - Fixed surface types and units",,"8",,"Nominal top of the atmosphere",,"-","Operational"
924,"Code table 4.5 - Fixed surface types and units",,"9",,"Sea bottom",,"-","Operational"
925,"Code table 4.5 - Fixed surface types and units",,"10",,"Entire atmosphere",,"-","Operational"
926,"Code table 4.5 - Fixed surface types and units",,"11",,"Cumulonimbus (CB) base",,"m","Operational"
927,"Code table 4.5 - Fixed surface types and units",,"12",,"Cumulonimbus (CB) top",,"m","Operational"
928,"Code table 4.5 - Fixed surface types and units",,"13-19",,"Reserved",,,"Operational"
929,"Code table 4.5 - Fixed surface types and units",,"20",,"Isothermal level",,"K","Operational"
930,"Code table 4.5 - Fixed surface types and units",,"21-99",,"Reserved",,,"Operational"
931,"Code table 4.5 - Fixed surface types and units",,"100",,"Isobaric surface",,"Pa","Operational"
932,"Code table 4.5 - Fixed surface types and units",,"101",,"Mean sea level",,,"Operational"
933,"Code table 4.5 - Fixed surface types and units",,"102",,"Specific altitude above mean sea level",,"m","Operational"
934,"Code table 4.5 - Fixed surface types and units",,"103",,"Specified height level above ground",,"m","Operational"
935,"Code table 4.5 - Fixed surface types and units",,"104",,"Sigma level",,"“sigma” value","Operational"
936,"Code table 4.5 - Fixed surface types and units",,"105",,"Hybrid level",,"-","Operational"
937,"Code table 4.5 - Fixed surface types and units",,"106",,"Depth below land surface",,"m","Operational"
938,"Code table 4.5 - Fixed surface types and units",,"107",,"Isentropic (theta) level",,"K","Operational"
939,"Code table 4.5 - Fixed surface types and units",,"108",,"Level at specified pressure difference from ground to level",,"Pa","Operational"
940,"Code table 4.5 - Fixed surface types and units",,"109",,"Potential vorticity surface",,"K m2 kg-1 s-1","Operational"
941,"Code table 4.5 - Fixed surface types and units",,"110",,"Reserved",,,"Operational"
942,"Code table 4.5 - Fixed surface types and units",,"111",,"Eta level","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF45n","-","Operational"
943,"Code table 4.5 - Fixed surface types and units",,"112",,"Reserved",,,"Validation"
944,"Code table 4.5 - Fixed surface types and units",,"113",,"Logarithmic hybrid coordinate",,"-","Validation"
945,"Code table 4.5 - Fixed surface types and units",,"114-116",,"Reserved",,,"Validation"
946,"Code table 4.5 - Fixed surface types and units",,"117",,"Mixed layer depth m",,,"Operational"
947,"Code table 4.5 - Fixed surface types and units",,"118",,"Hybrid height level",,"-","Operational"
948,"Code table 4.5 - Fixed surface types and units",,"119",,"Hybrid pressure level",,"-","Operational"
949,"Code table 4.5 - Fixed surface types and units",,"120",,"Pressure thickness",,"Pa","Validation"
950,"Code table 4.5 - Fixed surface types and units",,"121-149",,"Reserved",,,"Validation"
951,"Code table 4.5 - Fixed surface types and units",,"150",,"Generalized vertical height coordinate (4)",,,"Validation"
952,"Code table 4.5 - Fixed surface types and units",,"151-159",,"Reserved",,,"Validation"
953,"Code table 4.5 - Fixed surface types and units",,"160",,"Depth below sea level m",,,"Operational"
954,"Code table 4.5 - Fixed surface types and units",,"161-191",,"Reserved",,,"Operational"
955,"Code table 4.5 - Fixed surface types and units",,"192-254",,"Reserved for local use",,,"Operational"
956,"Code table 4.5 - Fixed surface types and units",,"255",,"Missing",,,"Operational"
957,"Code table 4.6 - Type of ensemble forecast",,"0",,"Unperturbed high-resolution control forecast",,,"Operational"
958,"Code table 4.6 - Type of ensemble forecast",,"1",,"Unperturbed low-resolution control forecast",,,"Operational"
959,"Code table 4.6 - Type of ensemble forecast",,"2",,"Negatively perturbed forecast",,,"Operational"
960,"Code table 4.6 - Type of ensemble forecast",,"3",,"Positively perturbed forecast",,,"Operational"
961,"Code table 4.6 - Type of ensemble forecast",,"4",,"Multi-model forecast",,,"Operational"
962,"Code table 4.6 - Type of ensemble forecast",,"5-191",,"Reserved",,,"Operational"
963,"Code table 4.6 - Type of ensemble forecast",,"192-254",,"Reserved for local use",,,"Operational"
964,"Code table 4.6 - Type of ensemble forecast",,"255",,"Missing",,,"Operational"
965,"Code table 4.7 - Derived forecast",,"0",,"Unweighted mean of all members",,,"Operational"
966,"Code table 4.7 - Derived forecast",,"1",,"Weighted mean of all members",,,"Operational"
967,"Code table 4.7 - Derived forecast",,"2",,"Standard deviation with respect to cluster mean",,,"Operational"
968,"Code table 4.7 - Derived forecast",,"3",,"Standard deviation with respect to cluster mean, normalized",,,"Operational"
969,"Code table 4.7 - Derived forecast",,"4",,"Spread of all members",,,"Operational"
970,"Code table 4.7 - Derived forecast",,"5",,"Large anomaly index of all members","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF47n",,"Operational"
971,"Code table 4.7 - Derived forecast",,"6",,"Unweighted mean of the cluster members",,,"Operational"
972,"Code table 4.7 - Derived forecast",,"7",,"Interquartile range (range between the 25th and 75th quantile)",,,"Operational"
973,"Code table 4.7 - Derived forecast",,"8",,"Minimum of all ensemble members",,,"Operational"
974,"Code table 4.7 - Derived forecast",,"9",,"Maximum of all ensemble members",,,"Operational"
975,"Code table 4.7 - Derived forecast",,"10-191",,"Reserved",,,"Operational"
976,"Code table 4.7 - Derived forecast",,"192-254",,"Reserved for local use",,,"Operational"
977,"Code table 4.7 - Derived forecast",,"255",,"Missing",,,"Operational"
978,"Code table 4.8 - Clustering method",,"0",,"Anomaly correlation",,,"Operational"
979,"Code table 4.8 - Clustering method",,"1",,"Root mean square",,,"Operational"
980,"Code table 4.8 - Clustering method",,"2-191",,"Reserved",,,"Operational"
981,"Code table 4.8 - Clustering method",,"192-254",,"Reserved for local use",,,"Operational"
982,"Code table 4.8 - Clustering method",,"255",,"Missing",,,"Operational"
983,"Code table 4.9 - Probability type",,"0",,"Probability of event below lower limit",,,"Operational"
984,"Code table 4.9 - Probability type",,"1",,"Probability of event above upper limit",,,"Operational"
985,"Code table 4.9 - Probability type",,"2",,"Probability of event between lower and upper limits (the range includes the lower limit but not the upper limit)",,,"Operational"
986,"Code table 4.9 - Probability type",,"3",,"Probability of event above lower limit",,,"Operational"
987,"Code table 4.9 - Probability type",,"4",,"Probability of event below upper limit",,,"Operational"
988,"Code table 4.9 - Probability type",,"5-191",,"Reserved",,,"Operational"
989,"Code table 4.9 - Probability type",,"192-254",,"Reserved for local use",,,"Operational"
990,"Code table 4.9 - Probability type",,"255",,"Missing",,,"Operational"
991,"Code table 4.10 - Type of statistical processing",,"0",,"Average",,,"Operational"
992,"Code table 4.10 - Type of statistical processing",,"1",,"Accumulation",,,"Operational"
993,"Code table 4.10 - Type of statistical processing",,"2",,"Maximum",,,"Operational"
994,"Code table 4.10 - Type of statistical processing",,"3",,"Minimum",,,"Operational"
995,"Code table 4.10 - Type of statistical processing",,"4",,"Difference (value at the end of time range minus value at the beginning)",,,"Operational"
996,"Code table 4.10 - Type of statistical processing",,"5",,"Root mean square",,,"Operational"
997,"Code table 4.10 - Type of statistical processing",,"6",,"Standard deviation",,,"Operational"
998,"Code table 4.10 - Type of statistical processing",,"7",,"Covariance (temporal variance)",,,"Operational"
999,"Code table 4.10 - Type of statistical processing",,"8",,"Difference (value at the start of time range minus value at the end)",,,"Operational"
1000,"Code table 4.10 - Type of statistical processing",,"9",,"Ratio",,,"Operational"
1001,"Code table 4.10 - Type of statistical processing",,"10-191",,"Reserved",,,"Operational"
1002,"Code table 4.10 - Type of statistical processing",,"192-254",,"Reserved for local use",,,"Operational"
1003,"Code table 4.10 - Type of statistical processing",,"255",,"Missing",,,"Operational"
1004,"Code table 4.11 - Type of time intervals",,"0",,"Reserved",,,"Operational"
1005,"Code table 4.11 - Type of time intervals",,"1",,"Successive times processed have same forecast time, start time of forecast is incremented",,,"Operational"
1006,"Code table 4.11 - Type of time intervals",,"2",,"Successive times processed have same start time of forecast, forecast time is incremented",,,"Operational"
1007,"Code table 4.11 - Type of time intervals",,"3",,"Successive times processed have start time of forecast incremented and forecast time decremented so that valid time remains constant",,,"Operational"
1008,"Code table 4.11 - Type of time intervals",,"4",,"Successive times processed have start time of forecast decremented and forecast time incremented so that valid time remains constant",,,"Operational"
1009,"Code table 4.11 - Type of time intervals",,"5",,"Floating subinterval of time between forecast time and end of overall time interval","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF411n",,"Operational"
1010,"Code table 4.11 - Type of time intervals",,"6-191",,"Reserved",,,"Operational"
1011,"Code table 4.11 - Type of time intervals",,"192-254",,"Reserved for local use",,,"Operational"
1012,"Code table 4.11 - Type of time intervals",,"255",,"Missing",,,"Operational"
1013,"Code table 4.12 - Operating mode",,"0",,"Maintenance mode",,,"Operational"
1014,"Code table 4.12 - Operating mode",,"1",,"Clear air",,,"Operational"
1015,"Code table 4.12 - Operating mode",,"2",,"Precipitation",,,"Operational"
1016,"Code table 4.12 - Operating mode",,"3-191",,"Reserved",,,"Operational"
1017,"Code table 4.12 - Operating mode",,"192-254",,"Reserved for local use",,,"Operational"
1018,"Code table 4.12 - Operating mode",,"255",,"Missing",,,"Operational"
1019,"Code table 4.13 - Quality control indicator",,"0",,"No quality control applied",,,"Operational"
1020,"Code table 4.13 - Quality control indicator",,"1",,"Quality control applied",,,"Operational"
1021,"Code table 4.13 - Quality control indicator",,"2-191",,"Reserved",,,"Operational"
1022,"Code table 4.13 - Quality control indicator",,"192-254",,"Reserved for local use",,,"Operational"
1023,"Code table 4.13 - Quality control indicator",,"255",,"Missing",,,"Operational"
1024,"Code table 4.14 - Clutter filter indicator",,"0",,"No clutter filter used",,,"Operational"
1025,"Code table 4.14 - Clutter filter indicator",,"1",,"Clutter filter used",,,"Operational"
1026,"Code table 4.14 - Clutter filter indicator",,"2-191",,"Reserved",,,"Operational"
1027,"Code table 4.14 - Clutter filter indicator",,"192-254",,"Reserved for local use",,,"Operational"
1028,"Code table 4.14 - Clutter filter indicator",,"255",,"Missing",,,"Operational"
1029,"Code table 4.15 - Type of spatial processing used to arrive at given data value from the source data",,"0",,"Data is calculated directly from the source grid with no interpolation","(see Note 1)#GRIB2_7_0_0_CodeFlag.doc#G2_CF415n",,"Operational"
1030,"Code table 4.15 - Type of spatial processing used to arrive at given data value from the source data",,"1",,"Bilinear interpolation using the 4 source grid grid-point values surrounding the nominal grid-point",,,"Operational"
1031,"Code table 4.15 - Type of spatial processing used to arrive at given data value from the source data",,"2",,"Bicubic interpolation using the 4 source grid grid-point values surrounding the nominal grid-point",,,"Operational"
1032,"Code table 4.15 - Type of spatial processing used to arrive at given data value from the source data",,"3",,"Using the value from the source grid grid-point which is nearest to the nominal grid-point",,,"Operational"
1033,"Code table 4.15 - Type of spatial processing used to arrive at given data value from the source data",,"4",,"Budget interpolation using the 4 source grid grid-point values surrounding the nominal grid-point","(see Note 2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF415n",,"Operational"
1034,"Code table 4.15 - Type of spatial processing used to arrive at given data value from the source data",,"5",,"Spectral interpolation using the 4 source grid grid-point values surrounding the nominal grid-point",,,"Operational"
1035,"Code table 4.15 - Type of spatial processing used to arrive at given data value from the source data",,"6",,"Neighbor-budget interpolation using the 4 source grid grid-point values surrounding the nominal grid-point","(see Note 3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF415n",,"Operational"
1036,"Code table 4.15 - Type of spatial processing used to arrive at given data value from the source data",,"7-191",,"Reserved",,,"Operational"
1037,"Code table 4.15 - Type of spatial processing used to arrive at given data value from the source data",,"192-254",,"Reserved for local use",,,"Operational"
1038,"Code table 4.15 - Type of spatial processing used to arrive at given data value from the source data",,"255",,"Missing",,,"Operational"
1039,"Code table 4.91 - Type of Interval",,"0",,"Smaller than first limit",,,"Operational"
1040,"Code table 4.91 - Type of Interval",,"1",,"Greater than second limit",,,"Operational"
1041,"Code table 4.91 - Type of Interval",,"2",,"Between first and second limit. The range includes the first limit but not the second limit",,,"Operational"
1042,"Code table 4.91 - Type of Interval",,"3",,"Greater than first limit",,,"Operational"
1043,"Code table 4.91 - Type of Interval",,"4",,"Smaller than second limit",,,"Operational"
1044,"Code table 4.91 - Type of Interval",,"5",,"Smaller or equal first limit",,,"Operational"
1045,"Code table 4.91 - Type of Interval",,"6",,"Greater or equal second limit",,,"Operational"
1046,"Code table 4.91 - Type of Interval",,"7",,"Between first and second. The range includes the first limit and the second limit",,,"Operational"
1047,"Code table 4.91 - Type of Interval",,"8",,"Greater or equal first limit",,,"Operational"
1048,"Code table 4.91 - Type of Interval",,"9",,"Smaller or equal second limit",,,"Operational"
1049,"Code table 4.91 - Type of Interval",,"10",,"Between first and second limit. The range includes the second limit but not the first limit",,,"Operational"
1050,"Code table 4.91 - Type of Interval",,"11",,"Equal to first limit.",,,"Operational"
1051,"Code table 4.91 - Type of Interval",,"12-191",,"Reserved",,,"Operational"
1052,"Code table 4.91 - Type of Interval",,"192-254",,"Reserved for local use",,,"Operational"
1053,"Code table 4.91 - Type of Interval",,"255",,"Missing",,,"Operational"
1054,"Code table 4.201 - Precipitation type",,"0",,"Reserved",,,"Operational"
1055,"Code table 4.201 - Precipitation type",,"1",,"Rain",,,"Operational"
1056,"Code table 4.201 - Precipitation type",,"2",,"Thunderstorm",,,"Operational"
1057,"Code table 4.201 - Precipitation type",,"3",,"Freezing rain",,,"Operational"
1058,"Code table 4.201 - Precipitation type",,"4",,"Mixed/ice",,,"Operational"
1059,"Code table 4.201 - Precipitation type",,"5",,"Snow",,,"Operational"
1060,"Code table 4.201 - Precipitation type",,"6-191",,"Reserved",,,"Operational"
1061,"Code table 4.201 - Precipitation type",,"192-254",,"Reserved for local use",,,"Operational"
1062,"Code table 4.201 - Precipitation type",,"255",,"Missing",,,"Operational"
1063,"Code table 4.202 - Precipitable water category",,"0-191",,"Reserved",,,"Operational"
1064,"Code table 4.202 - Precipitable water category",,"192-254",,"Reserved for local use",,,"Operational"
1065,"Code table 4.202 - Precipitable water category",,"255",,"Missing",,,"Operational"
1066,"Code table 4.203 - Cloud type",,"0",,"Clear",,,"Operational"
1067,"Code table 4.203 - Cloud type",,"1",,"Cumulonimbus",,,"Operational"
1068,"Code table 4.203 - Cloud type",,"2",,"Stratus",,,"Operational"
1069,"Code table 4.203 - Cloud type",,"3",,"Stratocumulus",,,"Operational"
1070,"Code table 4.203 - Cloud type",,"4",,"Cumulus",,,"Operational"
1071,"Code table 4.203 - Cloud type",,"5",,"Altostratus",,,"Operational"
1072,"Code table 4.203 - Cloud type",,"6",,"Nimbostratus",,,"Operational"
1073,"Code table 4.203 - Cloud type",,"7",,"Altocumulus",,,"Operational"
1074,"Code table 4.203 - Cloud type",,"8",,"Cirrostratus",,,"Operational"
1075,"Code table 4.203 - Cloud type",,"9",,"Cirrocumulus",,,"Operational"
1076,"Code table 4.203 - Cloud type",,"10",,"Cirrus",,,"Operational"
1077,"Code table 4.203 - Cloud type",,"11",,"Cumulonimbus - ground-based fog beneath the lowest layer",,,"Operational"
1078,"Code table 4.203 - Cloud type",,"12",,"Stratus - ground-based fog beneath the lowest layer",,,"Operational"
1079,"Code table 4.203 - Cloud type",,"13",,"Stratocumulus - ground-based fog beneath the lowest layer",,,"Operational"
1080,"Code table 4.203 - Cloud type",,"14",,"Cumulus - ground-based fog beneath the lowest layer",,,"Operational"
1081,"Code table 4.203 - Cloud type",,"15",,"Altostratus - ground-based fog beneath the lowest layer",,,"Operational"
1082,"Code table 4.203 - Cloud type",,"16",,"Nimbostratus - ground-based fog beneath the lowest layer",,,"Operational"
1083,"Code table 4.203 - Cloud type",,"17",,"Altocumulus - ground-based fog beneath the lowest layer",,,"Operational"
1084,"Code table 4.203 - Cloud type",,"18",,"Cirrostratus - ground-based fog beneath the lowest layer",,,"Operational"
1085,"Code table 4.203 - Cloud type",,"19",,"Cirrocumulus - ground-based fog beneath the lowest layer",,,"Operational"
1086,"Code table 4.203 - Cloud type",,"20",,"Cirrus - ground-based fog beneath the lowest layer",,,"Operational"
1087,"Code table 4.203 - Cloud type",,"21-190",,"Reserved",,,"Operational"
1088,"Code table 4.203 - Cloud type",,"191",,"Unknown",,,"Operational"
1089,"Code table 4.203 - Cloud type",,"192-254",,"Reserved for local use",,,"Operational"
1090,"Code table 4.203 - Cloud type",,"255",,"Missing",,,"Operational"
1091,"Code table 4.204 - Thunderstorm coverage",,"0",,"None",,,"Operational"
1092,"Code table 4.204 - Thunderstorm coverage",,"1",,"Isolated (1-2%)",,,"Operational"
1093,"Code table 4.204 - Thunderstorm coverage",,"2",,"Few (3-5%)",,,"Operational"
1094,"Code table 4.204 - Thunderstorm coverage",,"3",,"Scattered (16-45%)",,,"Operational"
1095,"Code table 4.204 - Thunderstorm coverage",,"4",,"Numerous (> 45%)",,,"Operational"
1096,"Code table 4.204 - Thunderstorm coverage",,"5-191",,"Reserved",,,"Operational"
1097,"Code table 4.204 - Thunderstorm coverage",,"192-254",,"Reserved for local use",,,"Operational"
1098,"Code table 4.204 - Thunderstorm coverage",,"255",,"Missing",,,"Operational"
1099,"Code table 4.205 - Presence of aerosol",,"0",,"Aerosol not present",,,"Operational"
1100,"Code table 4.205 - Presence of aerosol",,"1",,"Aerosol present",,,"Operational"
1101,"Code table 4.205 - Presence of aerosol",,"2-191",,"Reserved",,,"Operational"
1102,"Code table 4.205 - Presence of aerosol",,"192-254",,"Reserved for local use",,,"Operational"
1103,"Code table 4.205 - Presence of aerosol",,"255",,"Missing",,,"Operational"
1104,"Code table 4.206 - Volcanic ash",,"0",,"Not present",,,"Operational"
1105,"Code table 4.206 - Volcanic ash",,"1",,"Present",,,"Operational"
1106,"Code table 4.206 - Volcanic ash",,"2-191",,"Reserved",,,"Operational"
1107,"Code table 4.206 - Volcanic ash",,"192-254",,"Reserved for local use",,,"Operational"
1108,"Code table 4.206 - Volcanic ash",,"255",,"Missing",,,"Operational"
1109,"Code table 4.207 - Icing",,"0",,"None",,,"Operational"
1110,"Code table 4.207 - Icing",,"1",,"Light",,,"Operational"
1111,"Code table 4.207 - Icing",,"2",,"Moderate",,,"Operational"
1112,"Code table 4.207 - Icing",,"3",,"Severe",,,"Operational"
1113,"Code table 4.207 - Icing",,"4",,"Trace",,,"Operational"
1114,"Code table 4.207 - Icing",,"5",,"Heavy",,,"Operational"
1115,"Code table 4.207 - Icing",,"6-191",,"Reserved",,,"Operational"
1116,"Code table 4.207 - Icing",,"192-254",,"Reserved for local use",,,"Operational"
1117,"Code table 4.207 - Icing",,"255",,"Missing",,,"Operational"
1118,"Code table 4.208 - Turbulence",,"0",,"None (smooth)",,,"Operational"
1119,"Code table 4.208 - Turbulence",,"1",,"Light",,,"Operational"
1120,"Code table 4.208 - Turbulence",,"2",,"Moderate",,,"Operational"
1121,"Code table 4.208 - Turbulence",,"3",,"Severe",,,"Operational"
1122,"Code table 4.208 - Turbulence",,"4",,"Extreme",,,"Operational"
1123,"Code table 4.208 - Turbulence",,"5-191",,"Reserved",,,"Operational"
1124,"Code table 4.208 - Turbulence",,"192-254",,"Reserved for local use",,,"Operational"
1125,"Code table 4.208 - Turbulence",,"255",,"Missing",,,"Operational"
1126,"Code table 4.209 - Planetary boundary-layer regime",,"0",,"Reserved",,,"Operational"
1127,"Code table 4.209 - Planetary boundary-layer regime",,"1",,"Stable",,,"Operational"
1128,"Code table 4.209 - Planetary boundary-layer regime",,"2",,"Mechanically-driven turbulence",,,"Operational"
1129,"Code table 4.209 - Planetary boundary-layer regime",,"3",,"Forced convection",,,"Operational"
1130,"Code table 4.209 - Planetary boundary-layer regime",,"4",,"Free convection",,,"Operational"
1131,"Code table 4.209 - Planetary boundary-layer regime",,"5-191",,"Reserved",,,"Operational"
1132,"Code table 4.209 - Planetary boundary-layer regime",,"192-254",,"Reserved for local use",,,"Operational"
1133,"Code table 4.209 - Planetary boundary-layer regime",,"255",,"Missing",,,"Operational"
1134,"Code table 4.210 - Contrail intensity",,"0",,"Contrail not present",,,"Operational"
1135,"Code table 4.210 - Contrail intensity",,"1",,"Contrail present",,,"Operational"
1136,"Code table 4.210 - Contrail intensity",,"2-191",,"Reserved",,,"Operational"
1137,"Code table 4.210 - Contrail intensity",,"192-254",,"Reserved for local use",,,"Operational"
1138,"Code table 4.210 - Contrail intensity",,"255",,"Missing",,,"Operational"
1139,"Code table 4.211 - Contrail engine type",,"0",,"Low bypass",,,"Operational"
1140,"Code table 4.211 - Contrail engine type",,"1",,"High bypass",,,"Operational"
1141,"Code table 4.211 - Contrail engine type",,"2",,"Non-bypass",,,"Operational"
1142,"Code table 4.211 - Contrail engine type",,"3-191",,"Reserved",,,"Operational"
1143,"Code table 4.211 - Contrail engine type",,"192-254",,"Reserved for local use",,,"Operational"
1144,"Code table 4.211 - Contrail engine type",,"255",,"Missing",,,"Operational"
1145,"Code table 4.212 - Land use",,"0",,"Reserved",,,"Operational"
1146,"Code table 4.212 - Land use",,"1",,"Urban land",,,"Operational"
1147,"Code table 4.212 - Land use",,"2",,"Agriculture",,,"Operational"
1148,"Code table 4.212 - Land use",,"3",,"Range land",,,"Operational"
1149,"Code table 4.212 - Land use",,"4",,"Deciduous forest",,,"Operational"
1150,"Code table 4.212 - Land use",,"5",,"Coniferous forest",,,"Operational"
1151,"Code table 4.212 - Land use",,"6",,"Forest/wetland",,,"Operational"
1152,"Code table 4.212 - Land use",,"7",,"Water",,,"Operational"
1153,"Code table 4.212 - Land use",,"8",,"Wetlands",,,"Operational"
1154,"Code table 4.212 - Land use",,"9",,"Desert",,,"Operational"
1155,"Code table 4.212 - Land use",,"10",,"Tundra",,,"Operational"
1156,"Code table 4.212 - Land use",,"11",,"Ice",,,"Operational"
1157,"Code table 4.212 - Land use",,"12",,"Tropical forest",,,"Operational"
1158,"Code table 4.212 - Land use",,"13",,"Savannah",,,"Operational"
1159,"Code table 4.212 - Land use",,"14-191",,"Reserved",,,"Operational"
1160,"Code table 4.212 - Land use",,"192-254",,"Reserved for local use",,,"Operational"
1161,"Code table 4.212 - Land use",,"255",,"Missing",,,"Operational"
1162,"Code table 4.213 - Soil type",,"0",,"Reserved",,,"Operational"
1163,"Code table 4.213 - Soil type",,"1",,"Sand",,,"Operational"
1164,"Code table 4.213 - Soil type",,"2",,"Loamy sand",,,"Operational"
1165,"Code table 4.213 - Soil type",,"3",,"Sandy loam",,,"Operational"
1166,"Code table 4.213 - Soil type",,"4",,"Silt loam",,,"Operational"
1167,"Code table 4.213 - Soil type",,"5",,"Organic (redefined)",,,"Operational"
1168,"Code table 4.213 - Soil type",,"6",,"Sandy clay loam",,,"Operational"
1169,"Code table 4.213 - Soil type",,"7",,"Silt clay loam",,,"Operational"
1170,"Code table 4.213 - Soil type",,"8",,"Clay loam",,,"Operational"
1171,"Code table 4.213 - Soil type",,"9",,"Sandy clay",,,"Operational"
1172,"Code table 4.213 - Soil type",,"10",,"Silty clay",,,"Operational"
1173,"Code table 4.213 - Soil type",,"11",,"Clay",,,"Operational"
1174,"Code table 4.213 - Soil type",,"12",,"Loam",,,"Validation"
1175,"Code table 4.213 - Soil type",,"13",,"Peat",,,"Validation"
1176,"Code table 4.213 - Soil type",,"14",,"Rock",,,"Validation"
1177,"Code table 4.213 - Soil type",,"15",,"Ice",,,"Validation"
1178,"Code table 4.213 - Soil type",,"16",,"Water",,,"Validation"
1179,"Code table 4.213 - Soil type",,"17-191",,"Reserved",,,"Validation"
1180,"Code table 4.213 - Soil type",,"192-254",,"Reserved for local use",,,"Operational"
1181,"Code table 4.213 - Soil type",,"255",,"Missing",,,"Operational"
1182,"Code table 4.215 - Remotely-sensed snow coverage",,"0-49",,"Reserved",,,"Operational"
1183,"Code table 4.215 - Remotely-sensed snow coverage",,"50",,"No-snow/no-cloud",,,"Operational"
1184,"Code table 4.215 - Remotely-sensed snow coverage",,"51-99",,"Reserved",,,"Operational"
1185,"Code table 4.215 - Remotely-sensed snow coverage",,"100",,"Clouds",,,"Operational"
1186,"Code table 4.215 - Remotely-sensed snow coverage",,"101-249",,"Reserved",,,"Operational"
1187,"Code table 4.215 - Remotely-sensed snow coverage",,"250",,"Snow",,,"Operational"
1188,"Code table 4.215 - Remotely-sensed snow coverage",,"251-254",,"Reserved for local use",,,"Operational"
1189,"Code table 4.215 - Remotely-sensed snow coverage",,"255",,"Missing",,,"Operational"
1190,"Code table 4.216 - Elevation of snow-covered terrain",,"0-90",,"Elevation in increments of 100 m",,,"Operational"
1191,"Code table 4.216 - Elevation of snow-covered terrain",,"91-253",,"Reserved",,,"Operational"
1192,"Code table 4.216 - Elevation of snow-covered terrain",,"254",,"Clouds",,,"Operational"
1193,"Code table 4.216 - Elevation of snow-covered terrain",,"255",,"Missing",,,"Operational"
